Date,Forecasted Price,Lower CI,Upper CI
2024-11-07,1678150.301191399,1110915.2862034945,2245385.3161793035
2024-11-08,1675549.107645007,1101154.1277748349,2249944.087515179
2024-11-09,1678174.5145257364,1096707.728343937,2259641.300707536
2024-11-10,1681872.620039522,1093419.0076025655,2270326.2324764784
2024-11-11,1679749.403530712,1084390.9530253382,2275107.854036086
2024-11-12,1676796.380042097,1073662.75693542,2279930.003148774
2024-11-13,1676910.955963357,1066205.0209003338,2287616.89102638
2024-11-14,1678392.1638671672,1060209.9457188935,2296574.3820154406
2024-11-15,1679745.9121797113,1054176.858861087,2305314.9654983357
2024-11-16,1679753.0074945705,1046883.3353386162,2312622.6796505246
2024-11-17,1679068.357358492,1038981.3294341009,2319155.385282883
2024-11-18,1684510.2690104698,1037286.3616235645,2331734.176397375
2024-11-19,1687300.4445490828,1033017.4641494442,2341583.424948721
2024-11-20,1685062.3736062835,1023796.0547615716,2346328.6924509956
2024-11-21,1687754.704611132,1019578.0286791675,2355931.3805430965
2024-11-22,1691568.7107871938,1016552.4175686707,2366585.004005717
2024-11-23,1689421.2299100826,1007633.9302296075,2371208.529590558
2024-11-24,1686595.6280855827,997300.9360564756,2375890.32011469
2024-11-25,1686735.7604876019,990102.2840656936,2383369.23690951
2024-11-26,1688309.6030693569,984416.6279272574,2392202.5782114565
2024-11-27,1689582.7544568318,978504.4781010115,2400661.0308126523
2024-11-28,1689618.2626520707,971426.5711531295,2407809.954151012
2024-11-29,1689157.5789698118,963922.2404039257,2414392.917535698
